	Sound_file	Length (s)	Transcription	nr_words	words per second	preprocessed_transcription	asr_output	asr_output_preprocessed	jiWER	pyWER	myWER
10	008_20140714.wav.pcm	30	(…) yes, thank you very much, I am vicky maeijer, chair, I am a member of the freedom party, at the moment non attached, in the european parliament and I objected by email to the fact that I am not entitled apparently to put a question this evening I’d like that objection to be appropriately registered because I think as non attached members we have every right to have our voice heard	72	2.4	 yes thank you very much i am vicky maeijer chair i am a member of the freedom party at the moment non attached in the european parliament and i objected by email to the fact that i am not entitled apparently to put a question this evening i d like that objection to be appropriately registered because i think as non attached members we have every right to have our voice heard	HT DONGEVELL FOR ACETERIC BEEN A FIKI MAYER AN YES THANK YOU VERY MUCH ANBICKY MAYA CHAIR I A MEMBER OF THE A FREEDOM PARTY AT THE MOMENT NON ATTACHED IN EUROPEAN PARLIAMENT AND I OBJECTED BY E MALE TO THE FACT THAT I AM NOT ENTITLED APPARENTLY TO PUT A QUESTION THIS EVENING I'D LIKE THAT OBJECTION TO BE PROPERLY REGISTERED BECAUSE I THINK AS NON ATTACHED MEMBERS WE HAVE EVERY RIGHT TO HAVE OUR VOICE HEARD THANK YOU	ht dongevell for aceteric been a fiki mayer an yes thank you very much anbicky maya chair i a member of the a freedom party at the moment non attached in european parliament and i objected by e male to the fact that i am not entitled apparently to put a question this evening i d like that objection to be properly registered because i think as non attached members we have every right to have our voice heard thank you	0.4444444444444444	0.4444444444444444	0.4444444444444444
60	238_20141016.wav.pcm	23	the entire council is leaving, so if you could go quietly, during the parliaments’ last mandate, the working documents have been presented by three previous rapporteurs, today the LIBE committee is going to hold an exchange reviews on all thee draft directives, so first we are going to hear from the council on the state of play, if any of them are remaining	63	2.7391304347826098	the entire council is leaving so if you could go quietly during the parliaments last mandate the working documents have been presented by three previous rapporteurs today the libe committee is going to hold an exchange reviews on all thee draft directives so first we are going to hear from the council on the state of play if any of them are remaining	THE ENTIRE COUNCIL IS LEAVING SIL IYUGO QUIETLY DURING THE PARLIAMENT'S LAST MAN DATE THE WORKING DOCUMENTS HAD BEEN PRESENTED BY THREE PREVIOUS RAPATERS TO DAY THE LEVA COMMITTEE'S GOING TO HOLD AN EXCHANGE OF VIEWS ON ALL THREE DRAGTIRECTORS SO FRESH WERE GOING TO HEAR FROM THE COUNCIL ON THE STATE OF PLAY IF ANY OF THEM ARE REMAINING IF AN	the entire council is leaving sil iyugo quietly during the parliament s last man date the working documents had been presented by three previous rapaters to day the leva committee s going to hold an exchange of views on all three dragtirectors so fresh were going to hear from the council on the state of play if any of them are remaining if an	0.4444444444444444	0.4444444444444444	0.4444444444444444
50	039_20140925.wav.pcm	17	There is the high number of new psycho active substances notified for the early warning system, I said eighty one last year seventy eight this year by today. The development of … indicate that it is an important task of the agency and requires a lot of resources.	48	2.82352941176471	there is the high number of new psycho active substances notified for the early warning system i said eighty one last year seventy eight this year by today the development of indicate that it is an important task of the agency and requires a lot of resources 	THERE'S THE HIGH NUMBER OF NEW PCYCHOACTIC SUBSTANCES NOTIFIED THROUGH THE EARLY VORNING SYSTEM I SAID EIGHTY ONE LAST YEAR SEVENTY EEIGHT LISEA BY TO DAY THE DEVELOPMENT OF TRACT SUPPLY INDICATORS IS AN IMPORTANT TASK OF THE ANCIENCY AND EREQUIRES A LOT OF RESOURCES	there s the high number of new pcychoactic substances notified through the early vorning system i said eighty one last year seventy eeight lisea by to day the development of tract supply indicators is an important task of the anciency and erequires a lot of resources	0.4375	0.4375	0.4375
84	127_20141110.wav.pcm	24	too much, what is lagging behind in the financial programs with the pilot projects that you proposed to us and tried to help on this, and these pilot projects are quite important, I remember the pilot we did on training, for example with mister Belinguere and other members , and I remember also a project on sign language, again, where we gave our support	64	2.6666666666666696	too much what is lagging behind in the financial programs with the pilot projects that you proposed to us and tried to help on this and these pilot projects are quite important i remember the pilot we did on training for example with mister belinguere and other members and i remember also a project on sign language again where we gave our support	TOO MUCH WHAT IS LUGGING BEHIND IN THE FINANCIAL PROGRAMMES WITH A PILO PROJECTS THAT YOU PROPOSE TO US AND TRIED TO HELP ON THIS AND THIS PROPILO PROGAR QUITE IMPORTANT I REMEMBER THE PILOT WE DIDON TRAIN IN FOR EXAMPLE WITH MISTER BERLIN WER A OTHER MEMBERS AND I REMEMBER OF CHA PILOTON SIGN LANGUAGE A GAY WHERE WE GAVE OUR SUPPORT	too much what is lugging behind in the financial programmes with a pilo projects that you propose to us and tried to help on this and this propilo progar quite important i remember the pilot we didon train in for example with mister berlin wer a other members and i remember of cha piloton sign language a gay where we gave our support	0.4375	0.4375	0.4375
16	014_20140714.wav.pcm	20	in office, being short of time let me just pass the floor to madam Garcia Perez from the FEMM committee thank you, thank you very much chairman, good afternoon to all colleagues, and of course	35	1.75	in office being short of time let me just pass the floor to madam garcia perez from the femm committee thank you thank you very much chairman good afternoon to all colleagues and of course	IN A OFFICE BEING SHORT OF TIME LET ME JUST PAST THE FLOOR TO MADAME ALGERASIA PERES FROM THE FARM COMMITTEE THANK YOU THAT HE AS PRECEDENT THANK YOU VERY MUCH CHAIRMAN GOOD AFTERNOON TO OLD COLLEAGUES AND OF COURSE	in a office being short of time let me just past the floor to madame algerasia peres from the farm committee thank you that he as precedent thank you very much chairman good afternoon to old colleagues and of course	0.42857142857142855	0.42857142857142855	0.42857142857142855
77	136_20141106.wav.pcm	22	so we need this definition. Sophie, I mean, just to remind colleagues, and the, during the inquiry, the NSA inquiry, we agreed that this, just before I come to you Jan, we agreed that this definition, of national security was critical because, the national security definition for the individual member states under the treaty	54	2.45454545454545	so we need this definition sophie i mean just to remind colleagues and the during the inquiry the nsa inquiry we agreed that this just before i come to you jan we agreed that this definition of national security was critical because the national security definition for the individual member states under the treaty	SO WE NEED THIS DEFINITION SOPHY I MIN JUST TO REMIND COLLEAGUES IN DURING THE INQUIRY THE ANESSA INQUIRY WE AGREED THAT THIS PEPERR COME TOYAN AND WE AGREED THAT THIS DEFINITION NATIONALS CURITY WAS CRITICAL BECAUSE THE NATIONAL SECURITY DEFINITION FOR THE INDIVIDUAL MEMBER STATES UNDER THE TREATY	so we need this definition sophy i min just to remind colleagues in during the inquiry the anessa inquiry we agreed that this peperr come toyan and we agreed that this definition nationals curity was critical because the national security definition for the individual member states under the treaty	0.4074074074074074	0.4074074074074074	0.4074074074074074
58	048_20140925.wav.pcm	18	and I mentioned already that we had a visit from martin Schultz the day before yesterday in Lisbon, and in a press conference in Lisbon, the president of the parliament stressed the need for an increasing, for increasing the budget of the open monitoring center for drugs and drugs addiction in two thousand fifteen	54	3.0	and i mentioned already that we had a visit from martin schultz the day before yesterday in lisbon and in a press conference in lisbon the president of the parliament stressed the need for an increasing for increasing the budget of the open monitoring center for drugs and drugs addiction in two thousand fifteen	AND I MENTIONED ALREADY THAT WE HAD THE VISIT OF MARTIN JUELS THE DAY BEFORE YESTERDAY IN LISPON AND IN O BRESS CONFERENCE IN LISPON THE PRECEDENT OF THE PARLIAMENT STRESSED THE NEAT FOR AN INCREASING AFFOR INCREASING THE BATCHET OF THE OPEN MONITOING CENTR FOR DWACCENT WACEDLICTION IN TO ASTHOUS AND FIFTEEN	and i mentioned already that we had the visit of martin juels the day before yesterday in lispon and in o bress conference in lispon the precedent of the parliament stressed the neat for an increasing affor increasing the batchet of the open monitoing centr for dwaccent wacedliction in to asthous and fifteen	0.4074074074074074	0.4074074074074074	0.4074074074074074
79	138_20141106.wav.pcm	21	we probably need a much more nuanced and detailed position from them, so I agree with what you said, we need to stage this in a much more detailed way, so that is why I said open your (…) passionately, and you have done that, so thank you for doing that. Yeah, I know, you, you are also going to	60	2.85714285714286	we probably need a much more nuanced and detailed position from them so i agree with what you said we need to stage this in a much more detailed way so that is why i said open your passionately and you have done that so thank you for doing that yeah i know you you are also going to	AND WE PROBABLY NEED A MUCH MORE AND YEONST AN DETAILED POSITION FROM THEM SO I AGREE WITH WHAT YOUE SAID WE WE NEED TO STAGE THIS IN A MUCH MORE DETAILED WAY SO THAT'S WHY JO SAID OPEN YOUR ACCAND OF WORMS PARTIALLY AND YOU'VE DONE THAT SO THANK YOU FOR DOING THAT YE HANOR YOU  YOU ALSO GOING TO	and we probably need a much more and yeonst an detailed position from them so i agree with what youe said we we need to stage this in a much more detailed way so that s why jo said open your accand of worms partially and you ve done that so thank you for doing that ye hanor you you also going to	0.4	0.4	0.4
4	020_20140701.wav.pcm	28	thank you very much colleagues	5	0.178571428571429	thank you very much colleagues	THANK YOU VERY MUCH GOEX OO	thank you very much goex oo	0.4	0.4	0.4
32	450_20140904.wav.pcm	29	I had the experience of chairing, just, I’m finishing, chairing a delegation to Italy, we saw Poggioreale in in in in in, near Napolis, near Naples, and and that was a really outrageous situation, any concern about the prison situation when it comes to it’s impact on torture, ill mistreatment on on on convicts in the prison system across Europe, thank you, thank you, misses IN 'T VELD	68	2.3448275862069	i had the experience of chairing just i m finishing chairing a delegation to italy we saw poggioreale in in in in in near napolis near naples and and that was a really outrageous situation any concern about the prison situation when it comes to it s impact on torture ill mistreatment on on on convicts in the prison system across europe thank you thank you misses in t veld	I HAD THE EXPERIENCE OF CHEERING AT JUST EVER FINISHING CARING A DELEGATION TO ITALY WE SAW BODIOUR REALE IN IN IN IN IN NEAR NAPOLIS NEAR NAPLES AND THAT WAS AT REALLY ARAGEOUS SITUATION ANY CONCERN ABOUT THE PRISON SITUATION WHEN IT COMES TO ITS IMPACT ON TORTURE ILL MISTREATMENT ON ON ON CONVICTS IN THE PRISON SYSTEM ACROSS EUROPE THANK YOU YO A MISSUS INC FACT	i had the experience of cheering at just ever finishing caring a delegation to italy we saw bodiour reale in in in in in near napolis near naples and that was at really arageous situation any concern about the prison situation when it comes to its impact on torture ill mistreatment on on on convicts in the prison system across europe thank you yo a missus inc fact	0.39705882352941174	0.39705882352941174	0.39705882352941174
9	025_20140701.wav.pcm	21	anti terrorism, the whole panoply of legislation which is so important to us, so this is a huge privilege and honor, and I want to thank you for this honor today, I would like to proceed now to the election of the vice chairs, ehm first of all	48	2.28571428571429	anti terrorism the whole panoply of legislation which is so important to us so this is a huge privilege and honor and i want to thank you for this honor today i would like to proceed now to the election of the vice chairs ehm first of all	ANTITERRORISM THE WHOLE PANOPLY OF A LEGISLATION WHICH IS SO IMPORTANT TO US SO THIS IS A HUGE PRIVILEGE ON HONOUR AM AND I AM WANT TO THANK YOU FOR THIS A HONOR TO DAY AM I'D LIKE TO M PROCEED NOW TO AM THE ELECTION OF THE VICE CHAIRS AM FIRST OF ALL	antiterrorism the whole panoply of a legislation which is so important to us so this is a huge privilege on honour am and i am want to thank you for this a honor to day am i d like to m proceed now to am the election of the vice chairs am first of all	0.3958333333333333	0.39583333333333337	0.39583333333333326
54	043_20140925.wav.pcm	16	Ex stakeholders and partners, including obviously our stakeholders from the European parliament and we also consulted the general public. Our overall goal will be to contribute to a more secure and healthier europe	33	2.0625	ex stakeholders and partners including obviously our stakeholders from the european parliament and we also consulted the general public our overall goal will be to contribute to a more secure and healthier europe	A ETACOLUS AN PARTNERS INCLUDING OBVIOUSLY OUR PARTNERS FROM THE UPIAN PARLIAMENT AND WE ALSO CONSULTED THE GENERAL PUBLIC OUR OVERWAL GOL WILL BE TO CONTRIBUTE TO MORE SECURE AND TO A HEALTHIER EUROPE	a etacolus an partners including obviously our partners from the upian parliament and we also consulted the general public our overwal gol will be to contribute to more secure and to a healthier europe	0.3939393939393939	0.3939393939393939	0.3939393939393939
72	131_20141106.wav.pcm	23	I mean, if we are talking about, very often it is not clear, we have international agreements, which which say, for reasons of national security we may have exceptions x y z, but the national security of which country, exactly? If we have an agreement, say , on the transfer of bank data or passenger data to the united states, and they give us certain legal safeguards	67	2.91304347826087	i mean if we are talking about very often it is not clear we have international agreements which which say for reasons of national security we may have exceptions x y z but the national security of which country exactly if we have an agreement say on the transfer of bank data or passenger data to the united states and they give us certain legal safeguards	IF WE'RE TALKING ABOUT VERY OFTEN SNOT CLEAR WE HAVE INTERNATIONAL AGREEMENTS A WHICH WHICH SAY YOU KNOW FOR REASONS OF NATIONAL SECURITY WE MAY HAVE EXCEPTION EX WISETTE BUT THE NATIONAL SECURITY OF WHICH COUNTRY EXACTLY IF WE HAVE AN AGREEMENT SAY ON THE TRANSFER OF BANG DATE OR PASSENGER DATA TO THE UNITED STATES AND THEY GIVE A CERTAIN LEGAL SAFEGUARDS	if we re talking about very often snot clear we have international agreements a which which say you know for reasons of national security we may have exception ex wisette but the national security of which country exactly if we have an agreement say on the transfer of bang date or passenger data to the united states and they give a certain legal safeguards	0.3880597014925373	0.3880597014925373	0.3880597014925373
26	070_20140723.wav.pcm	22	that you are exposed to ehm, to imprisonment or deportation and you are also expected to ehm, wel you might be in the danger of being handed in by your employer	31	1.40909090909091	that you are exposed to ehm to imprisonment or deportation and you are also expected to ehm wel you might be in the danger of being handed in by your employer	THATYOU ARE EXPOSED TO A A AN TO IMPRISONMENT OR DEPORTATION AND YOU ARE ALSO EXPECTED TO A AN WHAT OR YOU MAYH BE IN A DANGER OF BEING ER HANDED IN BY YOUR EMPLOYER	thatyou are exposed to a a an to imprisonment or deportation and you are also expected to a an what or you mayh be in a danger of being er handed in by your employer	0.3870967741935484	0.3870967741935484	0.3870967741935484
47	008_20140915.wav.pcm	16	In the last mandate, ehm, and it’s not ideal that we are in a situation where we will have a plenary debate tomorrow, and we won’t have a substantive debate today. Anything with the label Ukraine is politically charged, so I share your concerns	44	2.75	in the last mandate ehm and it s not ideal that we are in a situation where we will have a plenary debate tomorrow and we won t have a substantive debate today anything with the label ukraine is politically charged so i share your concerns	IN THE LAST MANDAT A AND IT'S NOT IDEAL THAT WE ARE IN A SITUATION WHERE WE WILL HAVE A PLEANARY DEBATE TO MORROW AND WE WON'T HAVE A SUBSTANTIVE DEBATE TO DAY ANYTHING  WITH THE LABEL EUCRANE IS POLITICALLY CHARGED SO I DO SHARE YOUR CONCERNS	in the last mandat a and it s not ideal that we are in a situation where we will have a pleanary debate to morrow and we won t have a substantive debate to day anything with the label eucrane is politically charged so i do share your concerns	0.38636363636363635	0.38636363636363635	0.38636363636363635
85	143_20141110.wav.pcm	26	according to the two evaluation the commission has carried out, one in two thousand thirteen and one in two thousand fourteen, which it, which it shared with you parliament and with the council. The previous program was quite an efficient and effective program regardles of its small budget, it is indeed the smallest EU program that exits	57	2.1923076923076903	according to the two evaluation the commission has carried out one in two thousand thirteen and one in two thousand fourteen which it which it shared with you parliament and with the council the previous program was quite an efficient and effective program regardles of its small budget it is indeed the smallest eu program that exits	AND ACCORDING TO THE TWO EVALUATION THE COMMISSION HAS CARRIED OUT AN ONE AND TWO THOUSAND THIRTEEN AND ONE AND TWO THOUSAND FORT IN WHICH IT WHICH A IT SHARED WITH YOU A PARLIAMENT AND A WITH THE COUNCIL A THE PREVIOUS PROGRAMME WAS QUITE AN EFFICIENT AND EFFECTIVE PROGRAME A REGARDLESS OF ITS SMALL BIRCHAT IT IS INDEED THE SMALLEST U PROGRAME THAT EXISTS	and according to the two evaluation the commission has carried out an one and two thousand thirteen and one and two thousand fort in which it which a it shared with you a parliament and a with the council a the previous programme was quite an efficient and effective programe a regardless of its small birchat it is indeed the smallest u programe that exists	0.38596491228070173	0.3859649122807018	0.38596491228070173
46	007_20140915.wav.pcm	28	I was going to make the point later, but I can make the point now, in relation to your point of order. I share your concern, which is that this report was lead by the AFET committee and not by the LIBE committee, there are some colleagues here who are from the AFET committee, and can confirm this, we are associated with it on some very important issues, colleagues here present, will have worked on some Ukraine issues, as I have	81	2.89285714285714	i was going to make the point later but i can make the point now in relation to your point of order i share your concern which is that this report was lead by the afet committee and not by the libe committee there are some colleagues here who are from the afet committee and can confirm this we are associated with it on some very important issues colleagues here present will have worked on some ukraine issues as i have	ND I WAS GOING TO MEET THE POINT LATER BUT I CAN MAKE THE POINT NOW IN RELATION TO YOUR POINT OF ORDER AND I SHERE YOUR CONCERN WHICH IS THAT AND THIS REPORT WAS LED BY THE AFFEC COMMITTEE AND NOT BY THE LEAPING COMMITTEE THERE ARE SOME COLLEAES HERIOR FROM THE ATHIC COMMITTEE AND CON CONFIRMED THIS WE ARE ASSOCIATED WITH IT ON SOME VERY IMPORTANT ISSUES AT COLLEAGUES HERE PRESENT WILL HAVE WORKED ON SOME EUCRENE ISSUES AS I HAVE	nd i was going to meet the point later but i can make the point now in relation to your point of order and i shere your concern which is that and this report was led by the affec committee and not by the leaping committee there are some colleaes herior from the athic committee and con confirmed this we are associated with it on some very important issues at colleagues here present will have worked on some eucrene issues as i have	0.38271604938271603	0.3827160493827161	0.38271604938271603
74	133_20141106.wav.pcm	29	I mean, I’d really like to know, and again, if you, the one clear case I think where it is for the commission to give us a definition is safe harbor. Safe harbor is decided by the European commission. Not by the member states, not by the united states, not by parliament, y the commission, so surely, if the commission has such an important piece of, well, legislation, or or whatever you care to call it.	76	2.62068965517241	i mean i d really like to know and again if you the one clear case i think where it is for the commission to give us a definition is safe harbor safe harbor is decided by the european commission not by the member states not by the united states not by parliament y the commission so surely if the commission has such an important piece of well legislation or or whatever you care to call it 	I'D REALLY LIKE TO KNOW AND AGAIN IF YOU THAT THE ONE CLEAR CASE I THINK WHERE IT IS FOR THE COMMISSION TO GIVE US A DEFINISION IS SAFE HARBOUR SAFE HARBOUR IS DECIDED BY THE EUROPEAN COMMISSION NOT BY THE MEMBER STATES NOT BY THE UNITED STATES NOT BY PARLIAMENT BY THE COMMISSION SO SURELY IF THE COMMISSION HAS SUCH AN IMPORTANT PIECE OF  LEGISLATION OR OR WHATEVE YOU CALL I TO CARE TO CALL IT	i d really like to know and again if you that the one clear case i think where it is for the commission to give us a definision is safe harbour safe harbour is decided by the european commission not by the member states not by the united states not by parliament by the commission so surely if the commission has such an important piece of legislation or or whateve you call i to care to call it	0.3815789473684211	0.381578947368421	0.3815789473684211
59	049_20140925.wav.pcm	20	I thank you very much for your attention, and obviously, I would be most happy to reply the questions to the questions you may, you might have. Thank you very much mister Kurz, emm that was an excellent presentation. What I said at the beginning, and quite a few members have come in since I made my introduction	58	2.9	i thank you very much for your attention and obviously i would be most happy to reply the questions to the questions you may you might have thank you very much mister kurz emm that was an excellent presentation what i said at the beginning and quite a few members have come in since i made my introduction	I THANK YOU VERY MUCH FOR YOUR ATTENTION AND OBVIOUSLY I WOULD BE MOST HAPPY TO REPLY THE QUESTIONS TO THE QUESTIONS WHO MIGHT HAVE AGGREMENT THANK YOU VERY MUCH MISTER GODS AND THERE'S AN EXCELLENT PRESENTATION WHAT I SAID AT THE BEGINNING AND QUITE A FEW MEMBERS OF COMIN SINCE I MADE MY INTRODUCTION	i thank you very much for your attention and obviously i would be most happy to reply the questions to the questions who might have aggrement thank you very much mister gods and there s an excellent presentation what i said at the beginning and quite a few members of comin since i made my introduction	0.3793103448275862	0.3793103448275862	0.3793103448275862
52	041_20140925.wav.pcm	25	state secretaries from Portugal of Hungary, and we had a visit of the president of the European parliament Martin Schultz, all these in the first three days of this week, and this is not an exception, in this context, I am sure it is not a surprise for you that by the end of two thousand thirteen, ninetinine point seven four per cent of the budget had been committed of this agency	72	2.88	state secretaries from portugal of hungary and we had a visit of the president of the european parliament martin schultz all these in the first three days of this week and this is not an exception in this context i am sure it is not a surprise for you that by the end of two thousand thirteen ninetinine point seven four per cent of the budget had been committed of this agency	A STATE SECRETARIES FROM PORTUGARLAND HUNGARY AND WE HAD A VISIT OF THE PRESEDENT OF THE EUROPEAN PARLIAMENT MARTIN SHULES ALL THISE IN THE SPHIRI FIRST THREE DAYS OF THIS WEEK IN THIS AND THIS IS NO EN EXCEPTION IN THIS COIN THIS CONTEXT I AM SURE IT'S NOT A SURPRISE FOR YOU THAT BY THE END OF TWO THOUSAND THIRTEEN NINETY NINE PONT SEVENT FOUR PER CENT OF THE PATCHET HAD BEEN COMMITTED OF THIS AGENCY	a state secretaries from portugarland hungary and we had a visit of the presedent of the european parliament martin shules all thise in the sphiri first three days of this week in this and this is no en exception in this coin this context i am sure it s not a surprise for you that by the end of two thousand thirteen ninety nine pont sevent four per cent of the patchet had been committed of this agency	0.375	0.375	0.375
83	111_20141110.wav.pcm	17	could you tell me if the figures I have are actually correct, and then there is two follow up questions. How is the commission going to prevent all forms violence, considering children and young people or women, given this significant reduction in funding	43	2.52941176470588	could you tell me if the figures i have are actually correct and then there is two follow up questions how is the commission going to prevent all forms violence considering children and young people or women given this significant reduction in funding	COULD YOU TELL ME IF THE FIGURES THAT I HAVE ARE ACTUALLY CORRECT AND THEN HAS TO FOLLOW UP QUESTIONS HOW IS THE COMMISSION GOING TO PREVENT ALL FORMS OF VIOLENCE CONSIDERING A CHILDREN YOUNG PEOPLE OF WOMEN AEGIVEN THE THIS SIGNIFICANT REDUCTION IN FUNDING	could you tell me if the figures that i have are actually correct and then has to follow up questions how is the commission going to prevent all forms of violence considering a children young people of women aegiven the this significant reduction in funding	0.37209302325581395	0.37209302325581395	0.37209302325581395
78	137_20141106.wav.pcm	28	was their sole responsibility under article four. But when it comes to the cooperation between member states then it becomes a very gray area, it becomes a much more complicated situation, and of course, then it then it is a much more diluted and difficult situation, because we re we’re into into international agreements, so we need clarity on this, and with respect to what the legal services have said	70	2.5	was their sole responsibility under article four but when it comes to the cooperation between member states then it becomes a very gray area it becomes a much more complicated situation and of course then it then it is a much more diluted and difficult situation because we re we re into into international agreements so we need clarity on this and with respect to what the legal services have said	WAS THEIR SOLE RESPONSIBILITY UNDER ARTICLE FOR BUT WHEN IT COMES TO THE CO OPERATION BETWEEN MEMBER STATES THAN IT BECOMES A VERY DREARY THAT BECOMES A MUCH MORE COMPLICATED SITUATION AND OF COURSE THEN THEN IT IS A A MUCH MORE AN DILUTED AND DIFFICULT SITUATION BECAUSE WE REWEEINTO INTERNATIONAL AGREEMENT SO WE DO NEED CLARITY ON THIS AND A WIT WITH RESPECT TO TO WHAT THE LEGAL SERVICE IS SAID	was their sole responsibility under article for but when it comes to the co operation between member states than it becomes a very dreary that becomes a much more complicated situation and of course then then it is a a much more an diluted and difficult situation because we reweeinto international agreement so we do need clarity on this and a wit with respect to to what the legal service is said	0.37142857142857144	0.37142857142857144	0.37142857142857144
65	244_20141016.wav.pcm	28	doing everything we can to conclude the negotiation on both of these directives, one on the presumption of innocence, and the (…) children, and we want to be able to wrap that up by December, by the end of our presidency. And we are also keen to work with you on the file for minors. I was an Italian delegate, that took part in negotiations under the Greek presidency on this. 	72	2.57142857142857	doing everything we can to conclude the negotiation on both of these directives one on the presumption of innocence and the children and we want to be able to wrap that up by december by the end of our presidency and we are also keen to work with you on the file for minors i was an italian delegate that took part in negotiations under the greek presidency on this 	DOING EVERYTHING WE CAN TO CONCLUDE THE NEGOTIATIONS ON BOTH OF THESE ERECTORS ONE ON THE A PRESUMPTION OF INNOCENCE AND THE ONE COVERING CHILDREN AND WE WANT TO LOOK TO WRAP THAT UP BY DECEMBER BY THE END OF OUR PRESIDENCY AND WE'RE ALSO KING TO WORK WITH YOU ON THE ER FAL FOR MINERS I WAS AN ITALIAN DELEGATE THAT TOOK PART IN NEGOTIATIONS UNDER THE GREEK PRESIDENCY ONMIS AND AT THE MOMENT	doing everything we can to conclude the negotiations on both of these erectors one on the a presumption of innocence and the one covering children and we want to look to wrap that up by december by the end of our presidency and we re also king to work with you on the er fal for miners i was an italian delegate that took part in negotiations under the greek presidency onmis and at the moment	0.36619718309859156	0.3661971830985915	0.36111111111111105
34	452_20140904.wav.pcm	21	if I listen to the description of the situation of fundamental rights by the two gentlemen, and then the answer of the commission saying you know everything is fine, everything is under control, I really wonder if we are talking about the same thing, and it is typical because, and I I’ve said this many times before, I find	59	2.80952380952381	if i listen to the description of the situation of fundamental rights by the two gentlemen and then the answer of the commission saying you know everything is fine everything is under control i really wonder if we are talking about the same thing and it is typical because and i i ve said this many times before i find	IF I LISTEN TO THE AT THE THE DESCRIPTIONS OF THE SITUATION OF FUNDAMENTAL RIGTS BY THE TWO GENTLEMEN AND THEN THE THE ANSWER OF THE COMMISSION SAYING YOU KNOW EVERYTHING IS FINE EVERYTHING IS UNDER CONTROL I REALLY WONDER AM IF WE'RE TALKING ABOUT THE SAME THING AND IT IS TYPICAL BECAUSE AND IF I'VE SAID THESE MANY TIMES BEFORE I FIND	if i listen to the at the the descriptions of the situation of fundamental rigts by the two gentlemen and then the the answer of the commission saying you know everything is fine everything is under control i really wonder am if we re talking about the same thing and it is typical because and if i ve said these many times before i find	0.3559322033898305	0.3559322033898305	0.3559322033898305
80	063_20141110.wav.pcm	29	average, whatever de final results of this initiative, lets say that the signal is not quite encouraging, so I really support what already has been said, it is important to suspend the decision of the parliament. Thank you very much. The next is  madame Vergiat, from the GUE	49	1.6896551724137898	average whatever de final results of this initiative lets say that the signal is not quite encouraging so i really support what already has been said it is important to suspend the decision of the parliament thank you very much the next is madame vergiat from the gue	EVERAGE WHATEVER THE FINAL RESULTS OF THESE INITIATIVES LET SAY THAT THE SIGNAL IS NOT QUITE ENCOURAGING SO I REALLY SUPPORT WAS ALREADY HAS BEEN SAID IT'S IMPORTANT TO SUSPEND THE DECISION OF THE PARLIAMENT THANK YOU VERY MUCH THE NEXT ER IS MADAME BEGIATE FROM THE GOUGU	everage whatever the final results of these initiatives let say that the signal is not quite encouraging so i really support was already has been said it s important to suspend the decision of the parliament thank you very much the next er is madame begiate from the gougu	0.3541666666666667	0.35416666666666663	0.3673469387755102
8	024_20140701.wav.pcm	26	those existing members I’m looking at today have dealt with some of the most the important legislation this house will deal with, of course the economy is the most important thing, we all know that, but the values, because we are a parliament of values as well, is very much dealt with in the civil liberties justice and home affairs committee, data, asylum and immigration, anti discrimination work,	68	2.6153846153846203	those existing members i m looking at today have dealt with some of the most the important legislation this house will deal with of course the economy is the most important thing we all know that but the values because we are a parliament of values as well is very much dealt with in the civil liberties justice and home affairs committee data asylum and immigration anti discrimination work 	AND THOSE EXISTING MEMBERS WHO AME LOOKING AT TO DAY HAVE DEALT WITH SOME OF THE MOST IMPORTANT LEGISLATION AT THIS HOUSE WILL DEAL WITH OF COURSE THE ECONOMY M IS THE MOST IMPORTANT THING WE ALL KNOW THAT BUT THE VALUEIS BECAUSE WE AM ARE PARLIAMENT OF VALUES AS WELL IS VERY MUCH DEALT WITH IN THE CIVIL LIBERTYES JUSTICE AND WHOME AFFAIRS COMMITTEE AT DATA ASYLUM AN IMMIGRATION ANDTO DISCRIMINATION WORK	and those existing members who ame looking at to day have dealt with some of the most important legislation at this house will deal with of course the economy m is the most important thing we all know that but the valueis because we am are parliament of values as well is very much dealt with in the civil libertyes justice and whome affairs committee at data asylum an immigration andto discrimination work	0.35294117647058826	0.35294117647058826	0.35294117647058826
70	129_20141106.wav.pcm	30	but the term national security is used in a wide range of laws, and indeed international agreements, as a a ground for exceptions to the rules, very often rules like fundamental rights, transparency, you know, citizens rights, legal protection, what have you. So if we have grounds for exceptions to our	51	1.7	but the term national security is used in a wide range of laws and indeed international agreements as a a ground for exceptions to the rules very often rules like fundamental rights transparency you know citizens rights legal protection what have you so if we have grounds for exceptions to our	BUT THE TERM NATIONAL SECURITY IS USED IN A WIDE RANGE OF A LAWS AND INDEED INTERNATIONAL GREATER AGREEMENTS A AS A AGROUND FOR EXCEPTIONS TO THE RULES VERY OFTEN RULES LIKE FUNDAMENTAL RITES TRANSPARENSEY A YOUR CITIZENS RIDES LEGAL PROTECTION A WHOULD HAVE YOU SO IF WE HAVE GROUNDS FOR EXCEPTIONS TO AR	but the term national security is used in a wide range of a laws and indeed international greater agreements a as a aground for exceptions to the rules very often rules like fundamental rites transparensey a your citizens rides legal protection a whould have you so if we have grounds for exceptions to ar	0.35294117647058826	0.35294117647058826	0.35294117647058826
