	filenr	motherfile	asr_output	manual_transcription	manually_checked	duration	nr_words	wavfile_location	transcription_location
372	244	2015033102	but this is only about a feasibility study to feed into the debate it's not yet an a impact assessment study in which all these aspects should be looked at more thoroughly that will come at a later stage m	but this is only about a feasibility study to feed into the debate it's not yet an a impact assessment study in which all these aspects should be looked at more thoroughly that will come at a later stage m	0	18.15	40	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015033102/244_2015033102.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015033102/244_2015033102.wav.pcm.txt
373	245	2015033102	if i look that at the questionabout trafficing human beings that is also covered in the political guide lines of a president yunger it will also be addressed in the agendafor migration but not only in that agena the commission will also come forward with a lagenda on security inde mount of april very soon and trafficing humar human beings will be dealt with in that context	if i look that at the questionabout trafficing human beings that is also covered in the political guide lines of a president yunger it will also be addressed in the agendafor migration but not only in that agena the commission will also come forward with a lagenda on security inde mount of april very soon and trafficing humar human beings will be dealt with in that context	0	29.45	67	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015033102/245_2015033102.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015033102/245_2015033102.wav.pcm.txt
374	246	2015033102	so i can't say to day what concret he will be in discussions internally are om going but this is surely an aspect on which the commission will er focus a lot there were also e questions about what frontex sir is doing or should be doing i think ta ter the executive director will present er in a moment what frontex is going to do this yere and that will give her a clear over view of this	so i can't say to day what concret he will be in discussions internally are om going but this is surely an aspect on which the commission will er focus a lot there were also e questions about what frontex sir is doing or should be doing i think ta ter the executive director will present er in a moment what frontex is going to do this yere and that will give her a clear over view of this	0	28.55	79	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015033102/246_2015033102.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015033102/246_2015033102.wav.pcm.txt
375	247	2015033102	what the mandate offer frontex and the way it is sir implemented for the tim being then there was also a question about the coastal guards and the idea of pooling and sharing resources and on that point i would like to say we are aware of this idea	what the mandate offer frontex and the way it is sir implemented for the tim being then there was also a question about the coastal guards and the idea of pooling and sharing resources and on that point i would like to say we are aware of this idea	0	20.05	49	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015033102/247_2015033102.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015033102/247_2015033102.wav.pcm.txt
376	248	2015033102	a there are a whole series of different tasks doubt er one has in mind when discussing about this european costalguard but i should draw your attention to the fact that a few issues or tasks that ar being considered ado not necessarily folward in the scope of the treaties a such a rescue is one of them	a there are a whole series of different tasks doubt er one has in mind when discussing about this european costalguard but i should draw your attention to the fact that a few issues or tasks that ar being considered ado not necessarily folward in the scope of the treaties a such a rescue is one of them	0	24.25	58	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015033102/248_2015033102.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015033102/248_2015033102.wav.pcm.txt
377	249	2015033102	there have been a measures adopt udon this in the comtextovfer afrontec's joint operations but there is surely no general eu competents in the area of search arrest a rescue one can regret that but that is sir what it is the legal basis or the treaties sir to day tabt is also an a a last element i want to share with you with regard to the the the consecutive steps	there have been a measures adopt udon this in the comtextovfer afrontec's joint operations but there is surely no general eu competents in the area of search arrest a rescue one can regret that but that is sir what it is the legal basis or the treaties sir to day tabt is also an a a last element i want to share with you with regard to the the the consecutive steps	0	28.45	72	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015033102/249_2015033102.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015033102/249_2015033102.wav.pcm.txt
378	250	2015033102	of the tree models even if you would decide to day that we need the fully fleched european system of border guards at once and not going to fase one and two you would most probably as indicated in the study need a change of the treatise	of the tree models even if you would decide to day that we need the fully fleched european system of border guards at once and not going to fase one and two you would most probably as indicated in the study need a change of the treatise	0	19.85	47	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015033102/250_2015033102.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015033102/250_2015033102.wav.pcm.txt
379	251	2015033102	and i think you know better than i do that this is an exercise which is very difficult complex and takes a lot of time i wouldn't now amister chairman with your permission e pass on the floor to my collaborater danly the temperament to reply to the question on the pilot project mentioned by one of the members and to explain why there has been no further fall upon this	and i think you know better than i do that this is an exercise which is very difficult complex and takes a lot of time i wouldn't now amister chairman with your permission e pass on the floor to my collaborater danly the temperament to reply to the question on the pilot project mentioned by one of the members and to explain why there has been no further fall upon this	0	28.15	71	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015033102/251_2015033102.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015033102/251_2015033102.wav.pcm.txt
380	68	20150401	for exchange of basicalypolice information what happens in practice is that if a state well to call a a spate a spate if turkey has a suspicion and stop somebody on the border because they think that person might be going to syria they need to be able to call somebody in a ethat person in the citizen of a european unian state and receive the information	for exchange of basicalypolice information what happens in practice is that if a state well to call a a spate a spate if turkey has a suspicion and stop somebody on the border because they think that person might be going to syria they need to be able to call somebody in a ethat person in the citizen of a european unian state and receive the information	0	24.85	67	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150401/068_20150401.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150401/068_20150401.wav.pcm.txt
381	69	20150401	within an hour or so the time they can't for crastinade while checking the persons passport while doing a very therough customs check because if they don't have that information they have to let the person continue the journey and then the person may end up in seria as a forruntary spighter so that a speedy information will be very very important from practical viewpoint	within an hour or so the time they can't for crastinade while checking the persons passport while doing a very therough customs check because if they don't have that information they have to let the person continue the journey and then the person may end up in seria as a forruntary spighter so that a speedy information will be very very important from practical viewpoint	0	21.75	65	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150401/069_20150401.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150401/069_20150401.wav.pcm.txt
382	70	20150401	now there are a quite a few of of i will not go into the legaldetailed that how wi things are defined i can just assure that  most of the discussion a during the negotiation so far were focussed on own exactly that point how to	now there are a quite a few of of i will not go into the legaldetailed that how wi things are defined i can just assure that  most of the discussion a during the negotiation so far were focussed on own exactly that point how to	0	21.45	47	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150401/070_20150401.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150401/070_20150401.wav.pcm.txt
383	71	20150401	protect human rights and fundamental freedoms while criminalizing acts which lead orwhich may result in in a terriced attack in particular where it comes to foreign tes fighting indeed in the protical the the article of the mother convention of the save guards and protection of human rights has been reproduced ther batim	protect human rights and fundamental freedoms while criminalizing acts which lead orwhich may result in in a terriced attack in particular where it comes to foreign tes fighting indeed in the protical the the article of the mother convention of the save guards and protection of human rights has been reproduced ther batim	0	22.45	53	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150401/071_20150401.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150401/071_20150401.wav.pcm.txt
384	72	20150401	that was the decision of the draughters well oure friends from athe engios they wanted us a they wanted the draughters to have a a lot more on on human writing the protacal but the draughters decided that if y start enlarging the least you run into the problem of	that was the decision of the draughters well oure friends from athe engios they wanted us a they wanted the draughters to have a a lot more on on human writing the protacal but the draughters decided that if y start enlarging the least you run into the problem of	0	19.15	50	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150401/072_20150401.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150401/072_20150401.wav.pcm.txt
385	73	20150401	interpretation why something which is not in the least is not there whereas if you keep as in the mother convention where just the most important things are mentioned and and of course everything else is applicable this was the approachtaken by the droctors with regard to procedure	interpretation why something which is not in the least is not there whereas if you keep as in the mother convention where just the most important things are mentioned and and of course everything else is applicable this was the approachtaken by the droctors with regard to procedure	0	17.65	48	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150401/073_20150401.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150401/073_20150401.wav.pcm.txt
386	74	20150401	the a in der council of europe the a protical will now go to the the draughting group has finished his work in three meetings which is quite extraordinary and the poticle will now go to the committee of experts on terism known by the acranims	the a in der council of europe the a protical will now go to the the draughting group has finished his work in three meetings which is quite extraordinary and the poticle will now go to the committee of experts on terism known by the acranims	0	18.75	46	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150401/074_20150401.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150401/074_20150401.wav.pcm.txt
387	75	20150401	we do have them in the council urpe as well to distinguish the outsiders from the insiders we call that committee coldex there that's a committee of expertsonterism which is a steering committee reporting to our decision makers the committee of ministers so the prodegal will go a in in the meeting of cotexster as mentioned in the week of seven of aprial	we do have them in the council urpe as well to distinguish the outsiders from the insiders we call that committee coldex there that's a committee of expertsonterism which is a steering committee reporting to our decision makers the committee of ministers so the prodegal will go a in in the meeting of cotexster as mentioned in the week of seven of aprial	0	21.45	63	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150401/075_20150401.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150401/075_20150401.wav.pcm.txt
388	76	20150401	then it will go to a working group of the committee of ministers on legal affairs which is actually the ambassador sitting with different hats which is called g arge for the fevreridic	then it will go to a working group of the committee of ministers on legal affairs which is actually the ambassador sitting with different hats which is called g arge for the fevreridic	0	16.15	33	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150401/076_20150401.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150401/076_20150401.wav.pcm.txt
389	77	20150401	then it will need the opinion of the legal affairs committee of the our our parliamental assembly the roportor is already appointed and then it will go to the committee ministers for adoption the adoption is likely to take place on twenty ninth of april	then it will need the opinion of the legal affairs committee of the our our parliamental assembly the roportor is already appointed and then it will go to the committee ministers for adoption the adoption is likely to take place on twenty ninth of april	0	15.25	45	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150401/077_20150401.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150401/077_20150401.wav.pcm.txt
390	102	20150413	given to a request a or a question of own of the effects ervice sirity policyes on fundamental rights a on behalf of the commission is that in a certain sense european laws the european rule of law based on the charger of fundamental rights ir	given to a request a or a question of own of the effects ervice sirity policyes on fundamental rights a on behalf of the commission is that in a certain sense european laws the european rule of law based on the charger of fundamental rights ir	0	23.05	46	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150413/102_20150413.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150413/102_20150413.wav.pcm.txt
391	103	20150413	is  pended because of the it in the case of the greeks e situation because greece has a problem o sovereign debt that it must resolve with its own creditors now what i am asking as	is  pended because of the it in the case of the greeks e situation because greece has a problem o sovereign debt that it must resolve with its own creditors now what i am asking as	0	17.05	37	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150413/103_20150413.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150413/103_20150413.wav.pcm.txt
392	104	20150413	you have a reported on the effect sir of a on right sir of the ausority polities based on your idea of rights but we have the commissioneras another e idea of rights but this is because	you have a reported on the effect sir of a on right sir of the ausority polities based on your idea of rights but we have the commissioneras another e idea of rights but this is because	0	18.75	37	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150413/104_20150413.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150413/104_20150413.wav.pcm.txt
393	105	20150413	the the teo the accession ato the european convession of hun writes has not yet happened thank you now i give beg te floor to hour  yes sir mister maclamarau	the the teo the accession ato the european convession of hun writes has not yet happened thank you now i give beg te floor to hour  yes sir mister maclamarau	0	19.65	31	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150413/105_20150413.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150413/105_20150413.wav.pcm.txt
394	106	20150413	thank you very much and am ill think ill try to go through all of the questions thank you misssiple i also for at the reat which you m you am concurred with what i had to say i suppose you asked i think what were the m	thank you very much and am ill think ill try to go through all of the questions thank you misssiple i also for at the reat which you m you am concurred with what i had to say i suppose you asked i think what were the m	0	19.65	48	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150413/106_20150413.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150413/106_20150413.wav.pcm.txt
395	107	20150413	what rights ar what was the basis fr far rights or what rights won wedecess and measures against and i suppose its primarily those which have already been been recognized wit the charge fundamental rights which was introduced by the lispan treaty if european convention and human rights which was also given legal effect and given the same legal effect as the european treaties	what rights ar what was the basis fr far rights or what rights won wedecess and measures against and i suppose its primarily those which have already been been recognized wit the charge fundamental rights which was introduced by the lispan treaty if european convention and human rights which was also given legal effect and given the same legal effect as the european treaties	0	24.35	64	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150413/107_20150413.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150413/107_20150413.wav.pcm.txt
396	108	20150413	in the lisban treaty and tis was as also the uropean social charater which has played such a a vitalrall in the in the development of a rights across the european space m you asked about threats to human rights	in the lisban treaty and tis was as also the uropean social charater which has played such a a vitalrall in the in the development of a rights across the european space m you asked about threats to human rights	0	15.85	40	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150413/108_20150413.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150413/108_20150413.wav.pcm.txt
397	109	20150413	in a europe and of course there are various threats and there are violations of the fundamental rights i thinkin in every amember state of the european union oni have to look at the judgments of the european court of human rights too	in a europe and of course there are various threats and there are violations of the fundamental rights i thinkin in every amember state of the european union oni have to look at the judgments of the european court of human rights too	0	15.65	43	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150413/109_20150413.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150413/109_20150413.wav.pcm.txt
398	110	20150413	to  to verify that but then on systemic threats i mean the rissues of national minorities and in the baltic states which were of course which they had pledged to deal with am not the national minorities but the problems of violations of the rights of national minorities as a condition far accession to the european union yet am	to  to verify that but then on systemic threats i mean the rissues of national minorities and in the baltic states which were of course which they had pledged to deal with am not the national minorities but the problems of violations of the rights of national minorities as a condition far accession to the european union yet am	0	25.25	60	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150413/110_20150413.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150413/110_20150413.wav.pcm.txt
399	112	20150413	you know when people talk about and this is something that interlocaters i stated fairly clearly in my meetings with them here and i think it something which issomething that i i ould reflect upon and say its the case in my i speak to you as a as an irish parliamentarian	you know when people talk about and this is something that interlocaters i stated fairly clearly in my meetings with them here and i think it something which issomething that i i ould reflect upon and say its the case in my i speak to you as a as an irish parliamentarian	0	16.15	52	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150413/112_20150413.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150413/112_20150413.wav.pcm.txt
400	104	2015041402	he'll be prepared to answer that that wider question and bocase te next is sir anagomesanna well er i to believe that it's important to inde distinguish between policig and national security intelligence but what is also very important is that in te thereeas corporation for action for action to detect and deter terris to protect lives	he'll be prepared to answer that that wider question and bocase te next is sir anagomesanna well er i to believe that it's important to inde distinguish between policig and national security intelligence but what is also very important is that in te thereeas corporation for action for action to detect and deter terris to protect lives	0	27.55	57	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015041402/104_2015041402.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015041402/104_2015041402.wav.pcm.txt
401	105	2015041402	a and in disrespect  i'd like to answer to ask you actually er and which of our memberstates actually resist a entering into the kind of coporation we have called for in the framework of your apola in de siena	a and in disrespect  i'd like to answer to ask you actually er and which of our memberstates actually resist a entering into the kind of coporation we have called for in the framework of your apola in de siena	0	16.85	41	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015041402/105_2015041402.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015041402/105_2015041402.wav.pcm.txt
402	106	2015041402	a programm a platform also em do you see an increase at the level of memberstates of the linguisting conpetences of the sibre conpetences that indeed doing a proper job in terms off fighting te e e e countering terrors and requires a do you see that as well at the level of theyou rown institutions then e	a programm a platform also em do you see an increase at the level of memberstates of the linguisting conpetences of the sibre conpetences that indeed doing a proper job in terms off fighting te e e e countering terrors and requires a do you see that as well at the level of theyou rown institutions then e	0	27.55	58	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015041402/106_2015041402.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015041402/106_2015041402.wav.pcm.txt
403	107	2015041402	youave mentioned  both have mentioned of the importance of a the fighting em yeufirearms trafficink hot about human trafficing would just hed a session this morning where indeed we i lighted that why aren't we actually doing what we should be doing in terms of human trafficing a named a lelynx obvious lynks that could er have wid wit them wit ther terrors specially when you for instance have the situation coming so close	youave mentioned  both have mentioned of the importance of a the fighting em yeufirearms trafficink hot about human trafficing would just hed a session this morning where indeed we i lighted that why aren't we actually doing what we should be doing in terms of human trafficing a named a lelynx obvious lynks that could er have wid wit them wit ther terrors specially when you for instance have the situation coming so close	0	29.55	75	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015041402/107_2015041402.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015041402/107_2015041402.wav.pcm.txt
404	108	2015041402	ainterms of sanctuary for terrorsment you have now in libya an pianar can you tell us if you we actually see an advantage at advantage to the upienar this has been the the magic bullets so to say spellt by our governments weindisparliment as till considering	ainterms of sanctuary for terrorsment you have now in libya an pianar can you tell us if you we actually see an advantage at advantage to the upienar this has been the the magic bullets so to say spellt by our governments weindisparliment as till considering	0	21.05	46	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015041402/108_2015041402.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015041402/108_2015041402.wav.pcm.txt
405	109	2015041402	the implications i e lo ject you just ton peas aro lallier an men a wor you why don't defind you work with member states in at igtyfying forincs as soft hargets such as you had you mentioned the barten museum but you could be in theyou as wealky not just in the neighbourhood and also critical in for strature	the implications i e lo ject you just ton peas aro lallier an men a wor you why don't defind you work with member states in at igtyfying forincs as soft hargets such as you had you mentioned the barten museum but you could be in theyou as wealky not just in the neighbourhood and also critical in for strature	0	18.65	60	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015041402/109_2015041402.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015041402/109_2015041402.wav.pcm.txt
406	110	2015041402	thanks sanna ok yer you've got piana don't want any more because what t what i w no biggest spirit i mean what it is is ii'm sure you can do pienar what it what it is yet i'm just conscious because we got two other session of an epishback speakers on those and then people will go and some of you i want it because we've got at raticalization on other issues coming and these are really important topics is just setting the scene and we're already hitting pienar	thanks sanna ok yer you've got piana don't want any more because what t what i w no biggest spirit i mean what it is is ii'm sure you can do pienar what it what it is yet i'm just conscious because we got two other session of an epishback speakers on those and then people will go and some of you i want it because we've got at raticalization on other issues coming and these are really important topics is just setting the scene and we're already hitting pienar	0	26.45	90	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015041402/110_2015041402.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015041402/110_2015041402.wav.pcm.txt
407	112	2015041402	ande msus sir solongo lhat thank you all for you voury interesting introductions to the topic we heard about the danger of the terroris threat andthat which is e constantly changing as well	ande msus sir solongo lhat thank you all for you voury interesting introductions to the topic we heard about the danger of the terroris threat andthat which is e constantly changing as well	0	17.55	33	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015041402/112_2015041402.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015041402/112_2015041402.wav.pcm.txt
408	113	2015041402	have many reflections to make but because of time constrainth ell ust ask two questions of course i welcome the too new europol repos proposals the european a terrorists centr ander which have been approved by the council last march and the role will be to provide better responses to terrorous threads and a violent terrorism in europe	have many reflections to make but because of time constrainth ell ust ask two questions of course i welcome the too new europol repos proposals the european a terrorists centr ander which have been approved by the council last march and the role will be to provide better responses to terrorous threads and a violent terrorism in europe	0	26.05	58	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015041402/113_2015041402.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015041402/113_2015041402.wav.pcm.txt
409	114	2015041402	specifically i'd like to ask mister wainewright if he could give us any more information for a for example er the umeexpecteve results of these kind of activities are resources et cetera and then responding to miss salongo	specifically i'd like to ask mister wainewright if he could give us any more information for a for example er the umeexpecteve results of these kind of activities are resources et cetera and then responding to miss salongo	0	26.45	38	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/2015041402/114_2015041402.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/2015041402/114_2015041402.wav.pcm.txt
410	72	20150423	but let's not edelude ourselves people from erytia and somalia can get with will not get legally and safely to europe without some assistance from a smuggler and i think it's	but let's not edelude ourselves people from erytia and somalia can get with will not get legally and safely to europe without some assistance from a smuggler and i think it's	0	18.15	31	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150423/072_20150423.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150423/072_20150423.wav.pcm.txt
411	73	20150423	absurd that the memberstates have not i spoken about safe legal means for refuge ese to reach europe and i very much hope that at least the council will manage to day to send one or two clear signals about this and not carry on with long term obfascation and now e miss stevens you atefl	absurd that the memberstates have not i spoken about safe legal means for refuge ese to reach europe and i very much hope that at least the council will manage to day to send one or two clear signals about this and not carry on with long term obfascation and now e miss stevens you atefl	0	29.75	56	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150423/073_20150423.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150423/073_20150423.wav.pcm.txt
412	74	20150423	yene thank you very much chanen ladies and gentlemen i find it regrettable as well what has happened in the mediterranea scene nd recent days any one who dies of course is one too many i'd like to be clear about that but of course we also have to see the reality of things	yene thank you very much chanen ladies and gentlemen i find it regrettable as well what has happened in the mediterranea scene nd recent days any one who dies of course is one too many i'd like to be clear about that but of course we also have to see the reality of things	0	29.55	54	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150423/074_20150423.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150423/074_20150423.wav.pcm.txt
413	75	20150423	it's the human smugglers who are ut fault here not us they are telling people that it is possible to get over to cross the sea safely it is the fault of the smugglers that these people are dying theyre chasing people to their deaths basically	it's the human smugglers who are ut fault here not us they are telling people that it is possible to get over to cross the sea safely it is the fault of the smugglers that these people are dying theyre chasing people to their deaths basically	0	24.25	46	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150423/075_20150423.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150423/075_20150423.wav.pcm.txt
414	76	20150423	not the politicians but i understand we need to get down to work we need to trace smugglers and at the same time we have to of course make sure that we work on safely gall roots so that people can undertake this journey in a safe fashion but as long as we don't actually deal with the root of the problem as long as wi don't attack the causes	not the politicians but i understand we need to get down to work we need to trace smugglers and at the same time we have to of course make sure that we work on safely gall roots so that people can undertake this journey in a safe fashion but as long as we don't actually deal with the root of the problem as long as wi don't attack the causes	0	27.25	70	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150423/076_20150423.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150423/076_20150423.wav.pcm.txt
415	77	20150423	given the wars and unsafe situation the abuse of people as long as that happens then people will be fleeing to europe and we have a possibility to deal with that side of things to try and make sure that people can live in safety in their own country that's important	given the wars and unsafe situation the abuse of people as long as that happens then people will be fleeing to europe and we have a possibility to deal with that side of things to try and make sure that people can live in safety in their own country that's important	0	17.35	51	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150423/077_20150423.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150423/077_20150423.wav.pcm.txt
416	78	20150423	think hell and no mispost other flow taxamike thank you very much well i am sorry i cannot agree with the previous speaker you conjust iblame the smugglers why are there smugglers	think hell and no mispost other flow taxamike thank you very much well i am sorry i cannot agree with the previous speaker you conjust iblame the smugglers why are there smugglers	0	21.05	32	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20150423/078_20150423.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20150423/078_20150423.wav.pcm.txt
